mcc_code,agrupacion_rubro_gsauma,descripcion_nacional,glosa_mcc,descripcion_mcc
4722,AGENCIAS DE VIAJES,FEE TRANSPORTES,SERVICIOS DE TRANSPORTE,AGENCIAS DE VIAJE Y OPERADORES TURÍSTICOS
4722,AGENCIAS DE VIAJES,RESTAURANTES,SERVICIOS DE TRANSPORTE,AGENCIAS DE VIAJE Y OPERADORES TURÍSTICOS
4722,AGENCIAS DE VIAJES,OPERADORES MAYORISTAS,SERVICIOS DE TRANSPORTE,AGENCIAS DE VIAJE Y OPERADORES TURÍSTICOS
4722,AGENCIAS DE VIAJES,MINORISTAS PUROS,SERVICIOS DE TRANSPORTE,AGENCIAS DE VIAJE Y OPERADORES TURÍSTICOS
4722,AGENCIAS DE VIAJES,MINORISTAS DUALES,SERVICIOS DE TRANSPORTE,AGENCIAS DE VIAJE Y OPERADORES TURÍSTICOS
5541,BENCINAS,COMBUSTIBLES COPEC,VEHICULOS,"ESTACIONES DE SERVICIO (CON O SIN SERVICIOS DE ASISTENCIA) / GRIFOS, SERVICIO Y EXPENDIO DE GASOLINA"
5541,BENCINAS,COMBUSTIBLES,VEHICULOS,"ESTACIONES DE SERVICIO (CON O SIN SERVICIOS DE ASISTENCIA) / GRIFOS, SERVICIO Y EXPENDIO DE GASOLINA"
5541,BENCINAS,COMBUSTIBLES SHELL,VEHICULOS,"ESTACIONES DE SERVICIO (CON O SIN SERVICIOS DE ASISTENCIA) / GRIFOS, SERVICIO Y EXPENDIO DE GASOLINA"
5541,BENCINAS,COMBUSTIBLES PETROBRAS,VEHICULOS,"ESTACIONES DE SERVICIO (CON O SIN SERVICIOS DE ASISTENCIA) / GRIFOS, SERVICIO Y EXPENDIO DE GASOLINA"
5541,BENCINAS,,VEHICULOS,"ESTACIONES DE SERVICIO (CON O SIN SERVICIOS DE ASISTENCIA) / GRIFOS, SERVICIO Y EXPENDIO DE GASOLINA"
5541,BENCINAS,,VEHICULOS,"ESTACIONES DE SERVICIO (CON O SIN SERVICIOS DE ASISTENCIA) / GRIFOS, SERVICIO Y EXPENDIO DE GASOLINA"
6211,BROKERS Y PASARELAS DE PAGO,OFICINAS DE INGENIERIA,INTERMEDIACION FINANCIERA,"CORREDORES / NEGOCIANTES DE SEGURIDAD FINANCIERA (VALORES, CORREDORES DE BOLSA Y COMERCIALES)  (AGRUPA RUBROS: 6211-6300)"
6211,BROKERS Y PASARELAS DE PAGO,CORREDORES SEGUROS,INTERMEDIACION FINANCIERA,"CORREDORES / NEGOCIANTES DE SEGURIDAD FINANCIERA (VALORES, CORREDORES DE BOLSA Y COMERCIALES)  (AGRUPA RUBROS: 6211-6300)"
